I,m,a,g,e,,,,,,,,,,,,,
T,i,m,e, ,d,i,f,f,e,r,e,n,c,e,,,
r,o,l,l,,,,,,,,,,,,,,
p,i,t,c,h,,,,,,,,,,,,,
y,a,w,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,
y,,,,,,,,,,,,,,,,,
z,,,,,,,,,,,,,,,,,
v,x,,,,,,,,,,,,,,,,
v,y,,,,,,,,,,,,,,,,
v,z,,,,,,,,,,,,,,,,
/rec_0000,9.5367431640625E-07,0,0,1,0,0,0,0,0,0,,,,,0,0,0
/rec_0001,0.164418935775757,0,0,1,0,0,0,0,0,0,,,,,0,0,0
/rec_0002,0.312290906906128,-1,-2,1,0,0,-0.001569858712716,0,0,-2,,,,,0,0,-0.000156985871272
/rec_0003,0.444469451904297,0,1,1,0,0,-0.012622024937296,0,0,-5,,,,,0,0,-0.001419188365001
/rec_0004,0.580380916595459,0,0,1,0,0,-0.02955523283946,0,0,-6,,,,,0,0,-0.004374711648947
/rec_0005,0.706833124160767,-1,0,1,0,0,-0.047483519692049,0,0,-6,,,,,0,0,-0.009123063618152
/rec_0006,0.836932182312012,0,0,1,0,0,-0.066755468300186,0,0,-6,,,,,0,0,-0.015798610448171
/rec_0007,0.968269824981689,0,0,1,0,0,-0.0805068434377,0,0,-5,,,,,0,0,-0.023849294791941
/rec_0008,1.11566758155823,0,0,1,0,0,-0.094364936564086,0,0,-5,,,,,0,0,-0.033285788448349
/rec_0009,1.27664399147034,0,0,1,0,0,-0.099567248702814,0,0,-3,,,,,0,0,-0.043242513318631
/rec_0010,1.40478229522705,0,0,1,0,0,-0.100094119092698,0,0,-1,,,,,0,0,-0.053251925227901
/rec_0011,1.51779794692993,0,0,1,0,0,-0.100094119092698,0,0,0,,,,,0,0,-0.06326133713717
/rec_0012,1.64053249359131,0,0,1,0,0,-0.100094119092698,0,0,0,,,,,0,0,-0.07327074904644
/rec_0013,1.75683856010437,0,0,1,0,0,-0.100094119092698,0,0,0,,,,,0,0,-0.08328016095571
/rec_0014,1.8678150177002,0,0,1,0,0,-0.100094119092698,0,0,0,,,,,0,0,-0.09328957286498
/rec_0015,1.997230052948,0,0,1,0,0,-0.100094119092698,0,0,0,,,,,0,0,-0.10329898477425
/rec_0016,2.11689686775208,0,0,1,0,0,-0.100094119092698,0,0,0,,,,,0,0,-0.11330839668352
/rec_0017,2.27719712257385,0,0,1,0,0,-0.100611182174394,0,0,1,,,,,0,0,-0.123369514900959
/rec_0018,2.43108415603638,0,0,1,0,0,-0.101105253320639,0,0,1,,,,,0,0,-0.133480040233023
/rec_0019,2.55094766616821,0,0,1,0,0,-0.101627173988698,0,0,1,,,,,0,0,-0.143642757631893
/rec_0020,2.67142963409424,0,0,1,0,0,-0.102126175984706,0,0,1,,,,,0,0,-0.153855375230363
/rec_0021,2.78047394752502,0,0,1,0,0,-0.102647552418491,0,0,1,,,,,0,0,-0.164120130472212
/rec_0022,2.91787576675415,0,0,1,0,0,-0.10315413803146,0,0,1,,,,,0,0,-0.174435544275358
/rec_0023,3.05388069152832,0,0,1,0,0,-0.103651650469271,0,0,1,,,,,0,0,-0.184800709322285
/rec_0024,3.16174340248108,0,0,1,0,0,-0.104154163032085,0,0,1,,,,,0,0,-0.195216125625494
/rec_0025,3.31930017471313,0,0,1,0,0,-0.104643878996825,0,0,1,,,,,0,0,-0.205680513525176
/rec_0026,3.42146968841553,0,0,1,0,0,-0.105131683874874,0,0,1,,,,,0,0,-0.216193681912664
/rec_0027,3.55507326126099,0,0,1,0,0,-0.105625267290471,0,0,1,,,,,0,0,-0.226756208641711
/rec_0028,3.69693994522095,0,0,1,0,0,-0.106117878127909,0,0,1,,,,,0,0,-0.237367996454502
/rec_0029,3.82579112052917,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.247979784267293
/rec_0030,3.93968987464905,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.258591572080084
/rec_0031,4.08686017990112,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.269203359892875
/rec_0032,4.22256684303284,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.279815147705665
/rec_0033,4.35128736495972,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.290426935518456
/rec_0034,4.45811247825623,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.301038723331247
/rec_0035,4.58078241348267,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.311650511144038
/rec_0036,4.70229601860046,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.322262298956829
/rec_0037,4.8355987071991,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.33287408676962
/rec_0038,4.94929099082947,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.343485874582411
/rec_0039,5.0628764629364,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.354097662395202
/rec_0040,5.16016340255737,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.364709450207993
/rec_0041,5.27798628807068,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.375321238020784
/rec_0042,5.39020729064941,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.385933025833575
/rec_0043,5.51108264923096,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.396544813646366
/rec_0044,5.62467741966248,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.407156601459157
/rec_0045,5.7274386882782,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.417768389271948
/rec_0046,5.85508608818054,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.428380177084739
/rec_0047,5.98695421218872,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.43899196489753
/rec_0048,6.11387777328491,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.449603752710321
/rec_0049,6.23721599578857,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.460215540523112
/rec_0050,6.37754273414612,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.470827328335903
/rec_0051,6.49054932594299,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.481439116148694
/rec_0052,6.62204742431641,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.492050903961485
/rec_0053,6.7358033657074,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.502662691774276
/rec_0054,6.86139822006226,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.513274479587067
/rec_0055,6.98548650741577,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.523886267399857
/rec_0056,7.12822699546814,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.534498055212648
/rec_0057,7.26330256462097,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.545109843025439
/rec_0058,7.40125703811646,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.55572163083823
/rec_0059,7.51619291305542,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.566333418651021
/rec_0060,7.63520288467407,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.576945206463812
/rec_0061,7.75643491744995,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.587556994276603
/rec_0062,7.91692638397217,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.598168782089394
/rec_0063,8.03291988372803,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.608780569902185
/rec_0064,8.14609694480896,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.619392357714976
/rec_0065,8.26640629768372,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.630004145527767
/rec_0066,8.38159775733948,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.640615933340558
/rec_0067,8.50235795974731,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.651227721153349
/rec_0068,8.61723446846008,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.66183950896614
/rec_0069,8.73117113113403,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.672451296778931
/rec_0070,8.84587597846985,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.683063084591722
/rec_0071,8.95384311676025,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.693674872404513
/rec_0072,9.06713962554932,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.704286660217304
/rec_0073,9.19953322410584,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.714898448030094
/rec_0074,9.33154678344727,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.725510235842885
/rec_0075,9.45796155929565,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.736122023655677
/rec_0076,9.59643077850342,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.746733811468468
/rec_0077,9.72341322898865,0,0,1,0,0,-0.106117878127909,0,0,0,,,,,0,0,-0.757345599281258
/rec_0078,9.840975522995,0,0,1,0,0.024999999999999,-0.106117878127909,0,1,0,,,,,0,0.0025,-0.767957387094049
/rec_0079,9.93783092498779,0,0,1,0,0.051315789473682,-0.106117878127909,0,1,0,,,,,0,0.007631578947368,-0.77856917490684
/rec_0080,10.0503251552582,0,0,1,0,0.092982456140345,-0.106117878127909,0,1,0,,,,,0,0.016929824561403,-0.789180962719631
/rec_0081,10.2026906013489,0,0,1,0,0.051315789473675,-0.106117878127909,0,1,0,,,,,0,0.02206140350877,-0.799792750532422
/rec_0082,10.3301765918732,0,0,1,0,0.076315789473673,-0.106117878127909,0,1,0,,,,,0,0.029692982456137,-0.810404538345213
/rec_0083,10.4445643424988,0,0,1,0,0.090204678362562,-0.106117878127909,0,1,0,,,,,0,0.038713450292394,-0.821016326158004
/rec_0084,10.5457029342651,0,0,1,0,0.070204678362561,-0.106117878127909,0,1,0,,,,,0,0.04573391812865,-0.831628113970795
/rec_0085,10.6558923721313,0,0,1,0,-0.429795321637939,-0.106117878127909,0,1,0,,,,,0,0.002754385964856,-0.842239901783586
/rec_0086,10.753764629364,0,0,1,0,-0.346461988304619,-0.106117878127909,0,1,0,,,,,0,-0.031891812865606,-0.852851689596377
/rec_0087,10.867160320282,0,0,1,0,-0.203604845447487,-0.106117878127909,0,2,0,,,,,0,-0.052252297410355,-0.863463477409168
/rec_0088,10.9659507274628,0,0,1,0,-0.489319131161813,-0.106117878127909,0,2,0,,,,,0,-0.101184210526536,-0.874075265221959
/rec_0089,11.0680637359619,0,0,1,0,-0.77503341687614,-0.106117878127909,0,2,0,,,,,0,-0.17868755221415,-0.88468705303475
/rec_0090,11.1873781681061,0,0,1,0,-0.608366750209487,-0.106117878127909,0,2,0,,,,,0,-0.239524227235099,-0.89529884084754
/rec_0091,11.3040728569031,0,0,1,0,-0.208366750209567,-0.106117878127909,0,2,0,,,,,0,-0.260360902256056,-0.905910628660332
/rec_0092,11.4260716438293,0,0,1,0,-0.258366750209572,-0.106117878127909,0,1,0,,,,,0,-0.286197577277013,-0.916522416473122
/rec_0093,11.5336451530457,0,0,1,0,1999999999999.74,-0.106117878127909,0,2,0,,,,,0,,-0.927134204285913
/rec_0094,11.651317358017,0,0,1,0,1999999999999.76,-0.106117878127909,0,1,0,,,,,0,,-0.937745992098704
/rec_0095,11.762265920639,0,0,1,-0.125000000000031,2499999999999.76,-0.106117878127909,-1,1,0,,,,,-0.012500000000003,,-0.948357779911495
/rec_0096,11.8729102611542,0,0,1,-0.187500000000039,2500000000000.01,-0.106117878127909,-1,1,0,,,,,-0.031250000000007,,-0.958969567724286
/rec_0097,11.9833285808563,0,0,1,-0.220833333333375,2499999999999.81,-0.106117878127909,-1,2,0,,,,,-0.053333333333345,,-0.969581355537077
/rec_0098,12.0906159877777,0,0,1,-0.149404761904813,2500000000001.81,-0.106117878127909,-1,2,0,,,,,-0.068273809523826,,-0.980193143349868
/rec_0099,12.2055892944336,0,0,1,-0.399404761904938,2500000000001.91,-0.106117878127909,-1,1,0,,,,,-0.10821428571432,,-0.990804931162659
/rec_0100,12.3319883346558,0,0,1,-0.417923280423458,2500000000001.93,-0.106117878127909,-1,1,0,,,,,-0.150006613756665,,-1.00141671897545
/rec_0101,12.4495282173157,0,0,1,-0.459589947090128,2500000000001.83,-0.106117878127909,-1,1,0,,,,,-0.195965608465678,,-1.01202850678824
/rec_0102,12.5878868103027,0,0,1,-0.584589947090159,2500000000001.73,-0.106117878127909,-1,1,0,,,,,-0.254424603174694,,-1.02264029460103
/rec_0103,12.7238121032715,0,0,1,-0.626256613756829,2500000000001.68,-0.106117878127909,-1,1,0,,,,,-0.317050264550377,,-1.03325208241382
/rec_0104,12.8453962802887,0,0,1,-0.726256613756849,2500000000001.18,-0.106117878127909,-1,1,0,,,,,-0.389675925926062,,-1.04386387022661
/rec_0105,12.9570996761322,0,0,1,-0.698478835979073,2500000000001.17,-0.106117878127909,-1,1,0,,,,,-0.459523809523969,,-1.0544756580394
/rec_0106,13.0691514015198,0,0,1,-1.19847883597957,2500000000001.24,-0.106117878127909,-1,1,0,,,,,-0.579371693121927,,-1.0650874458522
/rec_0107,13.1892788410187,0,0,1,-1.12705026455101,2500000000001.21,-0.106117878127909,-1,1,0,,,,,-0.692076719577028,,-1.07569923366499
/rec_0108,13.3098886013031,0,0,1,-1.08159571909647,2500000000001.15,-0.106117878127909,-1,1,0,,,,,-0.800236291486675,,-1.08631102147778
/rec_0109,13.4336025714874,0,0,1,-1.05778619528695,2500000000001.08,-0.106117878127909,-1,1,0,,,,,-0.90601491101537,,-1.09692280929057
/rec_0110,13.5501844882965,0,0,1,-1.55778619528745,2500000000001.11,-0.106117878127909,-1,1,0,,,,,-1.06179353054411,,-1.10753459710336
/rec_0111,13.6953992843628,0,0,1,-2.05778619528795,2500000000001.14,-0.106117878127909,-1,1,0,,,,,-1.26757215007291,,-1.11814638491615
/rec_0112,13.837774515152,0,0,1,-2.01233164983341,2500000000001.16,-0.106117878127909,-1,1,0,,,,,-1.46880531505625,,-1.12875817272894
/rec_0113,13.9704537391663,0,0,1,499999999997.988,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.13936996054173
/rec_0114,14.0915791988373,0,0,1,499999999998.019,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.14998174835452
/rec_0115,14.2287740707397,0,0,1,499999999998.048,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.16059353616731
/rec_0116,14.3636162281036,0,0,1,499999999998.084,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.17120532398011
/rec_0117,14.4893870353699,0,0,1,499999999997.93,2500000000001.16,-0.106117878127909,-2,0,0,,,,,,,-1.1818171117929
/rec_0118,14.6135988235474,0,0,1,499999999998.93,2500000000001.16,-0.106117878127909,-2,0,0,,,,,,,-1.19242889960569
/rec_0119,14.7435972690582,0,0,1,499999999999.13,2500000000001.16,-0.106117878127909,-2,0,0,,,,,,,-1.20304068741848
/rec_0120,14.8903431892395,0,0,1,499999999999.097,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.21365247523127
/rec_0121,15.0204951763153,0,0,1,499999999999.034,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.22426426304406
/rec_0122,15.1624984741211,0,0,1,499999999999.018,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.23487605085685
/rec_0123,15.2880172729492,0,0,1,499999999999.053,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.24548783866964
/rec_0124,15.4106252193451,0,0,1,499999999999.092,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.25609962648243
/rec_0125,15.5447964668274,0,0,1,499999999999.592,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.26671141429522
/rec_0126,15.6693396568298,0,0,1,499999999999.467,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.27732320210801
/rec_0127,15.7933478355408,0,0,1,499999999999.505,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.28793498992081
/rec_0128,15.9124202728271,0,0,1,499999999999.589,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.2985467777336
/rec_0129,16.0344443321228,0,0,1,499999999999.62,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.30915856554639
/rec_0130,16.1515278816223,0,0,1,499999999999.87,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.31977035335918
/rec_0131,16.2744290828705,0,0,1,999999999999.87,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.33038214117197
/rec_0132,16.4073424339294,0,0,1,1000000000000.12,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.34099392898476
/rec_0133,16.5562913417816,0,0,1,1000000000000.05,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.35160571679755
/rec_0134,16.7161226272583,0,0,1,999999999999.923,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.36221750461034
/rec_0135,16.8276746273041,0,0,1,1000000000000.02,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.37282929242313
/rec_0136,16.9557647705078,0,0,1,1000000000000.05,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.38344108023592
/rec_0137,17.0926480293274,0,0,1,999999999999.996,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.39405286804872
/rec_0138,17.220593214035,0,0,1,1000000000000.25,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.40466465586151
/rec_0139,17.3700518608093,0,0,1,1000000000000.19,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.4152764436743
/rec_0140,17.5203142166138,0,0,1,1000000000000.24,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.42588823148709
/rec_0141,17.6533672809601,0,0,1,1000000000000.74,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.43650001929988
/rec_0142,17.7833080291748,0,0,1,1000000000000.81,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.44711180711267
/rec_0143,17.893609046936,0,0,1,1000000000000.79,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.45772359492546
/rec_0144,17.9997789859772,0,0,1,1000000000000.76,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.46833538273825
/rec_0145,18.1113102436066,0,0,1,1000000000000.26,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.47894717055104
/rec_0146,18.2414972782135,0,0,1,1000000000000.35,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.48955895836383
/rec_0147,18.3777072429657,0,0,1,1000000000000.36,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.50017074617662
/rec_0148,18.5263810157776,0,0,1,1000000000000.46,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.51078253398942
/rec_0149,18.6415629386902,0,0,1,1000000000000.5,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.52139432180221
/rec_0150,18.7786481380463,0,0,1,1000000000000.53,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.532006109615
/rec_0151,18.9085593223572,0,0,1,1000000000000.56,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.54261789742779
/rec_0152,19.0203094482422,0,0,1,1000000000000.48,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.55322968524058
/rec_0153,19.1412777900696,0,0,1,1000000000000.56,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.56384147305337
/rec_0154,19.2607803344727,0,0,1,1000000000000.53,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.57445326086616
/rec_0155,19.3880233764648,0,0,1,1000000000000.63,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.58506504867895
/rec_0156,19.5200593471527,-1,0,1,1000000000000.61,2500000000001.16,-0.106117878127909,-1,0,0,,,,,,,-1.59567683649174
/rec_0157,19.673271894455,-1,0,1,1000000000000.63,2500000000001.12,-0.106117878127909,-1,-1,0,,,,,,,-1.60628862430453
/rec_0158,19.796707868576,-1,0,1,1000000000000.6,2500000000001.14,-0.106117878127909,-1,-1,0,,,,,,,-1.61690041211733
/rec_0159,19.903183221817,-1,0,1,1000000000000.62,2500000000001.18,-0.106117878127909,-1,-1,0,,,,,,,-1.62751219993012
/rec_0160,20.0324146747589,-1,0,1,1000000000000.7,2500000000001.19,-0.106117878127909,-1,-1,0,,,,,,,-1.63812398774291
/rec_0161,20.1541085243225,-1,0,1,1000000000000.8,2500000000001.22,-0.106117878127909,-1,-1,0,,,,,,,-1.6487357755557
/rec_0162,20.2770299911499,-1,0,1,1000000000000.78,2500000000001.23,-0.106117878127909,-1,-1,0,,,,,,,-1.65934756336849
/rec_0163,20.407867193222,-1,0,1,1500000000000.78,2500000000001.26,-0.106117878127909,-1,-1,0,,,,,,,-1.66995935118128
/rec_0164,20.5386567115784,-1,0,1,1500000000000.81,2500000000001.31,-0.106117878127909,-1,-1,0,,,,,,,-1.68057113899407
/rec_0165,20.6575467586517,-1,0,1,1500000000000.84,2500000000001.33,-0.106117878127909,-1,-1,0,,,,,,,-1.69118292680686
/rec_0166,20.7790539264679,-1,0,1,1500000000001.34,2500000000001.34,-0.106117878127909,-1,-1,0,,,,,,,-1.70179471461965
/rec_0167,20.8863892555237,-1,0,1,1500000000001.43,2500000000001.37,-0.106117878127909,-1,-1,0,,,,,,,-1.71240650243244
/rec_0168,21.020055770874,-1,0,1,1500000000001.34,2500000000001.42,-0.106117878127909,-1,-2,0,,,,,,,-1.72301829024524
/rec_0169,21.1530640125275,-1,0,1,1500000000001.31,2500000000001.46,-0.106117878127909,-1,-2,0,,,,,,,-1.73363007805803
/rec_0170,21.2998836040497,-1,0,1,1500000000001.81,2500000000000.79,-0.106117878127909,-1,-2,0,,,,,,,-1.74424186587082
/rec_0171,21.4373788833618,-1,0,1,1500000000001.81,2500000000000.94,-0.106117878127909,0,-2,0,,,,,,,-1.75485365368361
/rec_0172,21.586109161377,-1,0,1,1500000000001.81,2500000000001.03,-0.106117878127909,0,-2,0,,,,,,,-1.7654654414964
/rec_0173,21.7233965396881,-1,0,1,1500000000001.81,2500000000001.11,-0.106117878127909,0,-2,0,,,,,,,-1.77607722930919
/rec_0174,21.865222454071,-1,0,1,1500000000001.81,2500000000001.15,-0.106117878127909,0,-2,0,,,,,,,-1.78668901712198
/rec_0175,21.9919075965881,-1,0,1,1500000000001.81,2500000000001.24,-0.106117878127909,0,-2,0,,,,,,,-1.79730080493477
/rec_0176,22.1452782154083,0,0,1,1500000000001.81,2500000000001.42,-0.106117878127909,0,-2,0,,,,,,,-1.80791259274756
/rec_0177,22.293336391449,0,0,1,1500000000001.81,2500000000001.6,-0.106117878127909,0,-2,0,,,,,,,-1.81852438056035
/rec_0178,22.4300467967987,0,0,1,1500000000001.81,2500000000001.65,-0.106117878127909,0,-2,0,,,,,,,-1.82913616837315
/rec_0179,22.5821259021759,0,0,1,1500000000001.81,2500000000001.66,-0.106117878127909,0,-1,0,,,,,,,-1.83974795618594
/rec_0180,22.7528502941132,0,0,1,1500000000001.81,2500000000001.71,-0.106117878127909,0,-1,0,,,,,,,-1.85035974399873
/rec_0181,22.8949666023254,0,0,1,1500000000001.81,2500000000001.73,-0.106117878127909,0,-1,0,,,,,,,-1.86097153181152
/rec_0182,23.0124793052673,0,0,1,1500000000001.81,2500000000001.74,-0.106117878127909,0,-1,0,,,,,,,-1.87158331962431
/rec_0183,23.1457231044769,2,0,1,1500000000001.81,2500000000001.74,-0.106117878127909,0,0,0,,,,,,,-1.8821951074371
/rec_0184,23.3070640563965,0,0,1,1500000000001.81,2500000000001.74,-0.106664924079769,0,0,1,,,,,,,-1.89286159984508
/rec_0185,23.4495935440063,0,0,1,1500000000001.81,2500000000001.74,-0.10879032259199,0,0,2,,,,,,,-1.90374063210428
/rec_0186,23.5956621170044,0,0,1,1500000000001.81,2500000000001.74,-0.117167285942776,0,0,4,,,,,,,-1.91545736069855
/rec_0187,23.7421457767487,0,0,1,1500000000001.81,2500000000001.74,-0.125535486779596,0,0,4,,,,,,,-1.92801090937651
/rec_0188,23.8929216861725,0,0,1,1500000000001.81,2500000000001.74,-0.133757480613101,0,0,4,,,,,,,-1.94138665743782
/rec_0189,24.0384097099304,0,0,1,1500000000001.81,2500000000001.74,-0.141797681618126,0,0,4,,,,,,,-1.95556642559963
/rec_0190,24.1800277233124,0,0,1,1500000000001.81,2500000000001.74,-0.149821753834776,0,0,4,,,,,,,-1.97054860098311
/rec_0191,24.3581564426422,0,0,1,1500000000001.81,2500000000001.74,-0.157680300003734,0,0,4,,,,,,,-1.98631663098349
/rec_0192,24.4934031963348,0,0,1,1500000000001.81,2500000000001.74,-0.165860259103939,0,0,4,,,,,,,-2.00290265689388
/rec_0193,24.6463530063629,0,0,1,1500000000001.81,2500000000001.74,-0.173860259103939,0,0,4,,,,,,,-2.02028868280427
/rec_0194,24.778582572937,0,0,1,1500000000001.81,2500000000001.74,-0.181393215789438,0,0,4,,,,,,,-2.03842800438322
/rec_0195,24.9027786254883,0,0,1,1500000000001.81,2500000000001.74,-0.185749459739099,0,0,3,,,,,,,-2.05700295035713
/rec_0196,25.0165102481842,0,0,1,1500000000001.81,2500000000001.74,-0.190101490686875,0,0,3,,,,,,,-2.07601309942581
/rec_0197,25.1638066768646,0,0,1,1500000000001.81,2500000000001.74,-0.192060354545837,0,0,2,,,,,,,-2.0952191348804
/rec_0198,25.3111779689789,0,0,2,1500000000001.81,2500000000001.74,-0.192591140108469,0,0,1,,,,,,,-2.11447824889124
/rec_0199,25.4502940177917,0,0,1,1500000000001.82,2500000000001.74,-0.192591140108469,-1,0,0,,,,,,,-2.13373736290209
/rec_0200,25.5900268554687,0,0,1,1500000000001.8,2500000000001.78,-0.192591140108469,-1,1,0,,,,,,,-2.15299647691294
/rec_0201,25.7554907798767,0,0,1,1500000000001.74,2500000000001.95,-0.192591140108469,-1,1,0,,,,,,,-2.17225559092379
/rec_0202,25.8900928497314,0,0,1,1500000000001.76,2500000000001.91,-0.192591140108469,-1,1,0,,,,,,,-2.19151470493463
/rec_0203,26.0127956867218,0,0,1,1500000000001.51,2500000000001.81,-0.192591140108469,-1,1,0,,,,,,,-2.21077381894548
/rec_0204,26.1609766483307,0,0,1,1500000000001.61,2500000000001.87,-0.192591140108469,-1,1,0,,,,,,,-2.23003293295633
/rec_0205,26.3245968818665,0,0,1,1500000000001.73,2500000000001.92,-0.192591140108469,-1,1,0,,,,,,,-2.24929204696717
